Datetime,consumption_mw,hour,dayofweek,date,prev_hour_mw
2017-12-01 01:00:00,13125.0,1,4,2017-12-01,13483.0
2017-12-01 02:00:00,12878.0,2,4,2017-12-01,13125.0
2017-12-01 03:00:00,12955.0,3,4,2017-12-01,12878.0
2017-12-01 04:00:00,13042.0,4,4,2017-12-01,12955.0
2017-12-01 05:00:00,13404.0,5,4,2017-12-01,13042.0
2017-12-01 06:00:00,14354.0,6,4,2017-12-01,13404.0
2017-12-01 07:00:00,15788.0,7,4,2017-12-01,14354.0
2017-12-01 08:00:00,16366.0,8,4,2017-12-01,15788.0
2017-12-01 09:00:00,16274.0,9,4,2017-12-01,16366.0
2017-12-01 10:00:00,15937.0,10,4,2017-12-01,16274.0
2017-12-01 11:00:00,15532.0,11,4,2017-12-01,15937.0
2017-12-01 12:00:00,14986.0,12,4,2017-12-01,15532.0
2017-12-01 13:00:00,14605.0,13,4,2017-12-01,14986.0
2017-12-01 14:00:00,14324.0,14,4,2017-12-01,14605.0
2017-12-01 15:00:00,14005.0,15,4,2017-12-01,14324.0
2017-12-01 16:00:00,13917.0,16,4,2017-12-01,14005.0
2017-12-01 17:00:00,14062.0,17,4,2017-12-01,13917.0
2017-12-01 18:00:00,15020.0,18,4,2017-12-01,14062.0
2017-12-01 19:00:00,15218.0,19,4,2017-12-01,15020.0
2017-12-01 20:00:00,15276.0,20,4,2017-12-01,15218.0
2017-12-01 21:00:00,15457.0,21,4,2017-12-01,15276.0
2017-12-01 22:00:00,15321.0,22,4,2017-12-01,15457.0
2017-12-01 23:00:00,14882.0,23,4,2017-12-01,15321.0
2017-12-02 00:00:00,14248.0,0,5,2017-12-02,14882.0
2017-12-02 01:00:00,13756.0,1,5,2017-12-02,14248.0
2017-12-02 02:00:00,13564.0,2,5,2017-12-02,13756.0
2017-12-02 03:00:00,13525.0,3,5,2017-12-02,13564.0
2017-12-02 04:00:00,13529.0,4,5,2017-12-02,13525.0
2017-12-02 05:00:00,13699.0,5,5,2017-12-02,13529.0
2017-12-02 06:00:00,13986.0,6,5,2017-12-02,13699.0
2017-12-02 07:00:00,14432.0,7,5,2017-12-02,13986.0
2017-12-02 08:00:00,15055.0,8,5,2017-12-02,14432.0
2017-12-02 09:00:00,15355.0,9,5,2017-12-02,15055.0
2017-12-02 10:00:00,15231.0,10,5,2017-12-02,15355.0
2017-12-02 11:00:00,14950.0,11,5,2017-12-02,15231.0
2017-12-02 12:00:00,14522.0,12,5,2017-12-02,14950.0
2017-12-02 13:00:00,14052.0,13,5,2017-12-02,14522.0
2017-12-02 14:00:00,13585.0,14,5,2017-12-02,14052.0
2017-12-02 15:00:00,13172.0,15,5,2017-12-02,13585.0
2017-12-02 16:00:00,13041.0,16,5,2017-12-02,13172.0
2017-12-02 17:00:00,13392.0,17,5,2017-12-02,13041.0
2017-12-02 18:00:00,14377.0,18,5,2017-12-02,13392.0
2017-12-02 19:00:00,14666.0,19,5,2017-12-02,14377.0
2017-12-02 20:00:00,14723.0,20,5,2017-12-02,14666.0
2017-12-02 21:00:00,14679.0,21,5,2017-12-02,14723.0
2017-12-02 22:00:00,14345.0,22,5,2017-12-02,14679.0
2017-12-02 23:00:00,14033.0,23,5,2017-12-02,14345.0
2017-12-03 00:00:00,13485.0,0,6,2017-12-03,14033.0
2017-12-03 01:00:00,13070.0,1,6,2017-12-03,13485.0
2017-12-03 02:00:00,12778.0,2,6,2017-12-03,13070.0
2017-12-03 03:00:00,12695.0,3,6,2017-12-03,12778.0
2017-12-03 04:00:00,12725.0,4,6,2017-12-03,12695.0
2017-12-03 05:00:00,12937.0,5,6,2017-12-03,12725.0
2017-12-03 06:00:00,13282.0,6,6,2017-12-03,12937.0
2017-12-03 07:00:00,13697.0,7,6,2017-12-03,13282.0
2017-12-03 08:00:00,14290.0,8,6,2017-12-03,13697.0
2017-12-03 09:00:00,14629.0,9,6,2017-12-03,14290.0
2017-12-03 10:00:00,14377.0,10,6,2017-12-03,14629.0
2017-12-03 11:00:00,13922.0,11,6,2017-12-03,14377.0
2017-12-03 12:00:00,13434.0,12,6,2017-12-03,13922.0
2017-12-03 13:00:00,13184.0,13,6,2017-12-03,13434.0
2017-12-03 14:00:00,12842.0,14,6,2017-12-03,13184.0
2017-12-03 15:00:00,12584.0,15,6,2017-12-03,12842.0
2017-12-03 16:00:00,12534.0,16,6,2017-12-03,12584.0
2017-12-03 17:00:00,12956.0,17,6,2017-12-03,12534.0
2017-12-03 18:00:00,14232.0,18,6,2017-12-03,12956.0
2017-12-03 19:00:00,14817.0,19,6,2017-12-03,14232.0
2017-12-03 20:00:00,15002.0,20,6,2017-12-03,14817.0
2017-12-03 21:00:00,15021.0,21,6,2017-12-03,15002.0
2017-12-03 22:00:00,14779.0,22,6,2017-12-03,15021.0
2017-12-03 23:00:00,14297.0,23,6,2017-12-03,14779.0
2017-12-04 00:00:00,13927.0,0,0,2017-12-04,14297.0
2017-12-04 01:00:00,13722.0,1,0,2017-12-04,13927.0
2017-12-04 02:00:00,13605.0,2,0,2017-12-04,13722.0
2017-12-04 03:00:00,13644.0,3,0,2017-12-04,13605.0
2017-12-04 04:00:00,13807.0,4,0,2017-12-04,13644.0
2017-12-04 05:00:00,14262.0,5,0,2017-12-04,13807.0
2017-12-04 06:00:00,15112.0,6,0,2017-12-04,14262.0
2017-12-04 07:00:00,16656.0,7,0,2017-12-04,15112.0
2017-12-04 08:00:00,17321.0,8,0,2017-12-04,16656.0
2017-12-04 09:00:00,17074.0,9,0,2017-12-04,17321.0
2017-12-04 10:00:00,16585.0,10,0,2017-12-04,17074.0
2017-12-04 11:00:00,16085.0,11,0,2017-12-04,16585.0
2017-12-04 12:00:00,15449.0,12,0,2017-12-04,16085.0
2017-12-04 13:00:00,15068.0,13,0,2017-12-04,15449.0
2017-12-04 14:00:00,14787.0,14,0,2017-12-04,15068.0
2017-12-04 15:00:00,14634.0,15,0,2017-12-04,14787.0
2017-12-04 16:00:00,14416.0,16,0,2017-12-04,14634.0
2017-12-04 17:00:00,14586.0,17,0,2017-12-04,14416.0
2017-12-04 18:00:00,15572.0,18,0,2017-12-04,14586.0
2017-12-04 19:00:00,15929.0,19,0,2017-12-04,15572.0
2017-12-04 20:00:00,15858.0,20,0,2017-12-04,15929.0
2017-12-04 21:00:00,15760.0,21,0,2017-12-04,15858.0
2017-12-04 22:00:00,15188.0,22,0,2017-12-04,15760.0
2017-12-04 23:00:00,14321.0,23,0,2017-12-04,15188.0
2017-12-05 00:00:00,13522.0,0,1,2017-12-05,14321.0
2017-12-05 01:00:00,12998.0,1,1,2017-12-05,13522.0
2017-12-05 02:00:00,12546.0,2,1,2017-12-05,12998.0
2017-12-05 03:00:00,12393.0,3,1,2017-12-05,12546.0
2017-12-05 04:00:00,12348.0,4,1,2017-12-05,12393.0
2017-12-05 05:00:00,12752.0,5,1,2017-12-05,12348.0
2017-12-05 06:00:00,13436.0,6,1,2017-12-05,12752.0
2017-12-05 07:00:00,14675.0,7,1,2017-12-05,13436.0
2017-12-05 08:00:00,15452.0,8,1,2017-12-05,14675.0
2017-12-05 09:00:00,15355.0,9,1,2017-12-05,15452.0
2017-12-05 10:00:00,15268.0,10,1,2017-12-05,15355.0
2017-12-05 11:00:00,15239.0,11,1,2017-12-05,15268.0
2017-12-05 12:00:00,15126.0,12,1,2017-12-05,15239.0
2017-12-05 13:00:00,15027.0,13,1,2017-12-05,15126.0
2017-12-05 14:00:00,15019.0,14,1,2017-12-05,15027.0
2017-12-05 15:00:00,15105.0,15,1,2017-12-05,15019.0
2017-12-05 16:00:00,15051.0,16,1,2017-12-05,15105.0
2017-12-05 17:00:00,15511.0,17,1,2017-12-05,15051.0
2017-12-05 18:00:00,16187.0,18,1,2017-12-05,15511.0
2017-12-05 19:00:00,16356.0,19,1,2017-12-05,16187.0
2017-12-05 20:00:00,16357.0,20,1,2017-12-05,16356.0
2017-12-05 21:00:00,16191.0,21,1,2017-12-05,16357.0
2017-12-05 22:00:00,15817.0,22,1,2017-12-05,16191.0
2017-12-05 23:00:00,15123.0,23,1,2017-12-05,15817.0
2017-12-06 00:00:00,14264.0,0,2,2017-12-06,15123.0
2017-12-06 01:00:00,13772.0,1,2,2017-12-06,14264.0
2017-12-06 02:00:00,13628.0,2,2,2017-12-06,13772.0
2017-12-06 03:00:00,13730.0,3,2,2017-12-06,13628.0
2017-12-06 04:00:00,13815.0,4,2,2017-12-06,13730.0
2017-12-06 05:00:00,14224.0,5,2,2017-12-06,13815.0
2017-12-06 06:00:00,15186.0,6,2,2017-12-06,14224.0
2017-12-06 07:00:00,16500.0,7,2,2017-12-06,15186.0
2017-12-06 08:00:00,17373.0,8,2,2017-12-06,16500.0
